"";"PTBrate";"nbirth";"seasons";"missind";"missind.1"
"1";0,154362416107383;562;1;TRUE;TRUE
"2";0,154362416107383;596;1;FALSE;FALSE
"3";0,177364864864865;592;1;FALSE;FALSE
"4";0,159128978224456;597;1;FALSE;FALSE
"5";0,204419889502762;543;1;FALSE;FALSE
"6";0,198260869565217;575;2;FALSE;FALSE
"7";0,200166704212661;611;2;TRUE;TRUE
"8";0,202072538860104;579;2;FALSE;FALSE
"9";0,194244604316547;556;2;FALSE;FALSE
"10";0,216216216216216;555;3;FALSE;FALSE
"11";0,18013468013468;594;3;FALSE;FALSE
"12";0,205638474295191;603;3;FALSE;FALSE
"13";0,198757763975155;644;3;FALSE;FALSE
"14";0,212837837837838;592;4;FALSE;FALSE
"15";0,173835125448029;558;4;FALSE;FALSE
"16";0,192442223475298;571;4;TRUE;TRUE
"17";0,211049321502568;574;4;TRUE;TRUE
"18";0,229656419529837;553;4;FALSE;FALSE
"19";0,183123877917415;557;5;FALSE;FALSE
"20";0,185114953251019;585;5;TRUE;TRUE
"21";0,187106028584624;547;5;TRUE;TRUE
"22";0,189097103918228;587;5;FALSE;FALSE
"23";0,215686274509804;561;6;FALSE;FALSE
"24";0,209219858156028;564;6;FALSE;FALSE
"25";0,211726384364821;614;6;FALSE;FALSE
"26";0,208754208754209;594;6;FALSE;FALSE
"27";0,212624584717608;602;7;FALSE;FALSE
"28";0,197969543147208;591;7;FALSE;FALSE
"29";0,220588235294118;612;7;FALSE;FALSE
"30";0,229534510433387;623;7;FALSE;FALSE
"31";0,202108963093146;569;7;FALSE;FALSE
"32";0,222972972972973;592;8;FALSE;FALSE
"33";0,211878009630819;623;8;FALSE;FALSE
"34";0,195652173913043;598;8;FALSE;FALSE
"35";0,177339901477833;609;8;FALSE;FALSE
"36";0,234006734006734;594;9;FALSE;FALSE
"37";0,190553745928339;614;9;FALSE;FALSE
"38";0,189419795221843;586;9;FALSE;FALSE
"39";0,191291094192118;579;9;TRUE;TRUE
"40";0,193162393162393;585;10;FALSE;FALSE
"41";0,196581196581196;588;10;TRUE;TRUE
"42";0,2;565;10;FALSE;FALSE
"43";0,222984562607204;583;10;FALSE;FALSE
"44";0,191150442477876;565;10;FALSE;FALSE
"45";0,219469026548673;565;11;FALSE;FALSE
"46";0,202486678507993;563;11;FALSE;FALSE
"47";0,235576923076923;624;11;FALSE;FALSE
"48";0,194492254733219;581;11;FALSE;FALSE
"49";0,217094017094017;585;12;FALSE;FALSE
"50";0,183887915936953;571;12;FALSE;FALSE
"51";0,192426273081017;593;12;TRUE;TRUE
"52";0,20096463022508;622;12;FALSE;FALSE
"53";0,206093189964158;558;12;FALSE;FALSE
"54";0,220512820512821;585;1;FALSE;FALSE
"55";0,239583333333333;576;1;FALSE;FALSE
"56";0,224832214765101;596;1;FALSE;FALSE
"57";0,213607594936709;632;1;FALSE;FALSE
"58";0,189473684210526;570;2;FALSE;FALSE
"59";0,233333333333333;570;2;FALSE;FALSE
"60";0,209183673469388;588;2;FALSE;FALSE
"61";0,229276895943563;567;2;FALSE;FALSE
"62";0,223406819517931;619;3;TRUE;TRUE
"63";0,217536743092299;619;3;TRUE;TRUE
"64";0,211666666666667;600;3;FALSE;FALSE
"65";0,20967298402081;621;3;TRUE;TRUE
"66";0,207679301374954;578;3;TRUE;TRUE
"67";0,205685618729097;598;4;FALSE;FALSE
"68";0,21194933857417;557;4;TRUE;TRUE
"69";0,218213058419244;582;4;FALSE;FALSE
"70";0,22406543755341;610;4;TRUE;TRUE
"71";0,229917816687576;589;5;TRUE;TRUE
"72";0,235770195821742;610;5;TRUE;TRUE
"73";0,241622574955908;567;5;FALSE;FALSE
"74";0,204626334519573;562;5;FALSE;FALSE
"75";0,242320819112628;586;6;FALSE;FALSE
"76";0,222402597402597;616;6;FALSE;FALSE
"77";0,207381370826011;569;6;FALSE;FALSE
"78";0,229452054794521;584;6;FALSE;FALSE
"79";0,211340206185567;582;6;FALSE;FALSE
"80";0,236601561792256;593;7;TRUE;TRUE
"81";0,261862917398946;569;7;FALSE;FALSE
"82";0,236087689713322;593;7;FALSE;FALSE
"83";0,217607973421927;602;7;FALSE;FALSE
"84";0,212068965517241;580;8;FALSE;FALSE
"85";0,218057921635434;587;8;FALSE;FALSE
"86";0,212612612612613;555;8;FALSE;FALSE
"87";0,217948717948718;546;8;FALSE;FALSE
"88";0,21824686940966;559;9;FALSE;FALSE
"89";0,208;625;9;FALSE;FALSE
"90";0,210714285714286;560;9;FALSE;FALSE
"91";0,191419141914191;606;9;FALSE;FALSE
"92";0,210616438356164;584;9;FALSE;FALSE
"93";0,233278955954323;613;10;FALSE;FALSE
"94";0,219633943427621;601;10;FALSE;FALSE
"95";0,217411908422671;578;10;TRUE;TRUE
"96";0,215189873417722;553;10;FALSE;FALSE
"97";0,218370883882149;577;11;FALSE;FALSE
"98";0,225641025641026;585;11;FALSE;FALSE
"99";0,2327499660833;580;11;TRUE;TRUE
"100";0,239858906525573;567;11;FALSE;FALSE
"101";0,26007326007326;546;12;FALSE;FALSE
"102";0,239792727597606;567;12;TRUE;TRUE
"103";0,219512195121951;574;12;FALSE;FALSE
"104";0,230639730639731;594;12;FALSE;FALSE
"105";0,236974789915966;595;12;FALSE;FALSE
"106";0,247137083112632;572;1;TRUE;TRUE
"107";0,257299376309297;619;1;TRUE;TRUE
"108";0,267461669505963;587;1;FALSE;FALSE
"109";0,243333333333333;600;1;FALSE;FALSE
"110";0,228933102652826;563;2;TRUE;TRUE
"111";0,214532871972318;578;2;FALSE;FALSE
"112";0,243548387096774;620;2;FALSE;FALSE
"113";0,248648648648649;555;2;FALSE;FALSE
"114";0,253187613843352;549;3;FALSE;FALSE
"115";0,234113712374582;598;3;FALSE;FALSE
"116";0,261648745519713;558;3;FALSE;FALSE
"117";0,232693531638361;551;3;TRUE;TRUE
"118";0,203738317757009;535;3;FALSE;FALSE
"119";0,279513888888889;576;4;FALSE;FALSE
"120";0,21824686940966;559;4;FALSE;FALSE
"121";0,260344827586207;580;4;FALSE;FALSE
"122";0,242857142857143;560;4;FALSE;FALSE
"123";0,248828222388432;535;5;TRUE;TRUE
"124";0,254799301919721;573;5;FALSE;FALSE
"125";0,243596834058452;599;5;TRUE;TRUE
"126";0,232394366197183;568;5;FALSE;FALSE
"127";0,221223021582734;556;6;FALSE;FALSE
"128";0,225978647686833;562;6;FALSE;FALSE
"129";0,24406779661017;590;6;FALSE;FALSE
"130";0,255012621709341;605;6;TRUE;TRUE
"131";0,265957446808511;564;6;FALSE;FALSE
"132";0,249977422967164;590;7;TRUE;TRUE
"133";0,233997399125818;573;7;TRUE;TRUE
"134";0,218017375284471;591;7;TRUE;TRUE
"135";0,202037351443124;589;7;FALSE;FALSE
"136";0,222882475004716;586;8;TRUE;TRUE
"137";0,243727598566308;558;8;FALSE;FALSE
"138";0,232558139534884;559;8;FALSE;FALSE
"139";0,265975820379965;579;8;FALSE;FALSE
"140";0,244193343127164;558;8;TRUE;TRUE
"141";0,222410865874363;589;9;FALSE;FALSE
"142";0,248376623376623;616;9;FALSE;FALSE
"143";0,215722120658135;547;9;FALSE;FALSE
"144";0,222041539150431;552;9;TRUE;TRUE
"145";0,228360957642726;543;10;FALSE;FALSE
"146";0,214285714285714;588;10;FALSE;FALSE
"147";0,224832214765101;596;10;FALSE;FALSE
"148";0,227979274611399;579;10;FALSE;FALSE
"149";0,211409395973154;596;11;FALSE;FALSE
"150";0,228995057660626;607;11;FALSE;FALSE
"151";0,234188034188034;585;11;FALSE;FALSE
"152";0,24914089347079;582;11;FALSE;FALSE
"153";0,224489795918367;588;11;FALSE;FALSE
"154";0,227805695142379;597;12;FALSE;FALSE
"155";0,240388416331801;603;12;TRUE;TRUE
"156";0,252971137521222;589;12;FALSE;FALSE
"157";0,226307315641182;590;12;TRUE;TRUE
"158";0,199643493761141;561;1;FALSE;FALSE
"159";0,213913043478261;575;1;FALSE;FALSE
"160";0,210616438356164;584;1;FALSE;FALSE
"161";0,242268041237113;582;1;FALSE;FALSE
"162";0,228276877761414;588;2;TRUE;TRUE
"163";0,214285714285714;560;2;FALSE;FALSE
"164";0,235194585448393;591;2;FALSE;FALSE
"165";0,288354898336414;541;2;FALSE;FALSE
"166";0,228937728937729;546;3;FALSE;FALSE
"167";0,246977547495682;579;3;FALSE;FALSE
"168";0,24954128440367;545;3;FALSE;FALSE
"169";0,242161946549661;566;3;TRUE;TRUE
"170";0,234782608695652;575;3;FALSE;FALSE
"171";0,22280701754386;570;4;FALSE;FALSE
"172";0,23679727427598;587;4;FALSE;FALSE
"173";0,257627118644068;590;4;FALSE;FALSE
"174";0,242372881355932;590;4;FALSE;FALSE
"175";0,321311475409836;610;5;FALSE;FALSE
"176";0,268630849220104;577;5;FALSE;FALSE
"177";0,263157894736842;570;5;FALSE;FALSE
"178";0,267862133209129;585;5;TRUE;TRUE
"179";0,272566371681416;565;5;FALSE;FALSE
"180";0,27318718381113;593;6;FALSE;FALSE
"181";0,248576850094877;527;6;FALSE;FALSE
"182";0,266429840142096;563;6;FALSE;FALSE
"183";0,255398628909869;625;6;TRUE;TRUE
"184";0,244367417677643;577;7;FALSE;FALSE
"185";0,254325259515571;578;7;FALSE;FALSE
"186";0,229591836734694;588;7;FALSE;FALSE
"187";0,236294896030246;529;7;FALSE;FALSE
"188";0,207221350078493;637;8;FALSE;FALSE
"189";0,231597845601436;557;8;FALSE;FALSE
"190";0,225524475524476;572;8;FALSE;FALSE
"191";0,251689189189189;592;8;FALSE;FALSE
"192";0,269201237951238;588;8;TRUE;TRUE
"193";0,286713286713287;572;9;FALSE;FALSE
"194";0,220910623946037;593;9;FALSE;FALSE
"195";0,246644295302013;596;9;FALSE;FALSE
"196";0,212099367081493;543;9;TRUE;TRUE
"197";0,177554438860972;597;10;FALSE;FALSE
"198";0,198952879581152;573;10;FALSE;FALSE
"199";0,234887737478411;579;10;FALSE;FALSE
"200";0,252808988764045;534;10;FALSE;FALSE
"201";0,212271973466003;603;11;FALSE;FALSE
"202";0,225423728813559;590;11;FALSE;FALSE
"203";0,23859649122807;570;11;FALSE;FALSE
"204";0,247397419167754;585;11;TRUE;TRUE
"205";0,256198347107438;605;11;FALSE;FALSE
"206";0,243993213288819;605;12;TRUE;TRUE
"207";0,231788079470199;604;12;FALSE;FALSE
"208";0,232715008431703;593;12;FALSE;FALSE
"209";0,241796200345423;579;12;FALSE;FALSE
"210";0,237623762376238;606;1;FALSE;FALSE
"211";0,225130890052356;573;1;FALSE;FALSE
"212";0,255172413793103;580;1;FALSE;FALSE
"213";0,223880597014925;603;1;FALSE;FALSE
"214";0,247572815533981;618;1;FALSE;FALSE
"215";0,259786476868327;562;2;FALSE;FALSE
"216";0,237261146496815;628;2;FALSE;FALSE
"217";0,238195790639712;603;2;TRUE;TRUE
"218";0,239130434782609;598;2;FALSE;FALSE
"219";0,27427597955707;587;3;FALSE;FALSE
"220";0,242258652094718;549;3;FALSE;FALSE
"221";0,259581881533101;574;3;FALSE;FALSE
"222";0,242174629324547;607;3;FALSE;FALSE
"223";0,241438356164384;584;4;FALSE;FALSE
"224";0,280265339966833;603;4;FALSE;FALSE
"225";0,216998191681736;553;4;FALSE;FALSE
"226";0,262267343485618;591;4;FALSE;FALSE
"227";0,259558329277055;556;5;TRUE;TRUE
"228";0,256849315068493;584;5;FALSE;FALSE
"229";0,267527675276753;542;5;FALSE;FALSE
"230";0,225303292894281;577;5;FALSE;FALSE
"231";0,225085910652921;582;5;FALSE;FALSE
"232";0,235253578037083;582;6;TRUE;TRUE
"233";0,245421245421245;546;6;FALSE;FALSE
"234";0,244288224956063;569;6;FALSE;FALSE
"235";0,252442385633448;554;6;TRUE;TRUE
"236";0,260596546310832;637;7;FALSE;FALSE
"237";0,23240589198036;611;7;FALSE;FALSE
"238";0,228830932338303;617;7;TRUE;TRUE
"239";0,225255972696246;586;7;FALSE;FALSE
"240";0,238527266923662;592;8;TRUE;TRUE
"241";0,251798561151079;556;8;FALSE;FALSE
"242";0,239460370994941;593;8;FALSE;FALSE
"243";0,230916030534351;524;8;FALSE;FALSE
"244";0,258333333333333;600;8;FALSE;FALSE
"245";0,222222222222222;558;9;FALSE;FALSE
"246";0,26530612244898;539;9;FALSE;FALSE
"247";0,214408233276158;583;9;FALSE;FALSE
"248";0,228284256010901;538;9;TRUE;TRUE
"249";0,242160278745645;574;10;FALSE;FALSE
"250";0,238831615120275;582;10;FALSE;FALSE
"251";0,235477575880299;559;10;TRUE;TRUE
"252";0,232123536640323;583;10;TRUE;TRUE
"253";0,228769497400347;577;10;FALSE;FALSE
"254";0,253187613843352;549;11;FALSE;FALSE
"255";0,219178082191781;584;11;FALSE;FALSE
"256";0,244336569579288;618;11;FALSE;FALSE
"257";0,239029720515854;572;11;TRUE;TRUE
"258";0,233722871452421;599;12;FALSE;FALSE
"259";0,233743409490334;569;12;FALSE;FALSE
"260";0,255067567567568;592;12;FALSE;FALSE
"261";0,266086956521739;575;12;FALSE;FALSE
"262";0,276559865092749;593;1;FALSE;FALSE
"263";0,247848537005164;581;1;FALSE;FALSE
"264";0,273830155979203;577;1;FALSE;FALSE
"265";0,263772954924875;599;1;FALSE;FALSE
"266";0,266211604095563;586;1;FALSE;FALSE
"267";0,280756808759191;634;2;TRUE;TRUE
"268";0,295302013422819;596;2;FALSE;FALSE
"269";0,258527827648115;557;2;FALSE;FALSE
"270";0,289902280130293;614;2;FALSE;FALSE
"271";0,272727272727273;594;3;FALSE;FALSE
"272";0,25569176882662;571;3;FALSE;FALSE
"273";0,287581699346405;612;3;FALSE;FALSE
"274";0,272215507207449;581;3;TRUE;TRUE
"275";0,256849315068493;584;4;FALSE;FALSE
"276";0,240773286467487;569;4;FALSE;FALSE
"277";0,248764415156507;607;4;FALSE;FALSE
"278";0,226211849192101;557;4;FALSE;FALSE
"279";0,221238938053097;565;4;FALSE;FALSE
"280";0,224462820574818;563;5;TRUE;TRUE
"281";0,227686703096539;549;5;FALSE;FALSE
"282";0,221122112211221;606;5;FALSE;FALSE
"283";0,219269102990033;602;5;FALSE;FALSE
"284";0,218068286434775;585;6;TRUE;TRUE
"285";0,216867469879518;581;6;FALSE;FALSE
"286";0,183835182250396;631;6;FALSE;FALSE
"287";0,192136076192821;561;6;TRUE;TRUE
"288";0,200436970135245;591;7;TRUE;TRUE
"289";0,20873786407767;618;7;FALSE;FALSE
"290";0,231046931407942;554;7;FALSE;FALSE
"291";0,199646643109541;566;7;FALSE;FALSE
"292";0,208185053380783;562;7;FALSE;FALSE
"293";0,179047619047619;525;8;FALSE;FALSE
